[01/11/2014][15:19:58][pass][c:com.idt.contest.college.winter2014.codetotest.MathUtility][m:isEven][b:1/2][i:10][o:true][n:test evens]
[01/11/2014][15:23:37][pass][c:com.idt.contest.college.winter2014.codetotest.MergeSort][m:mergeSort][b:1/1][i:1; 2; 3; 4; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:24:07][pass][c:com.idt.contest.college.winter2014.codetotest.Mf][m:mergeSort][b:1/1][i:1; 2; 4; 3; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:23:37][pass][c:com.idt.contest.college.winter2014.codetotest.x][m:mergeSort][b:1/1][i:1; 2; 3; 4; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:24:07][pass][c:com.idt.contest.college.winter2014.codetotest.a][m:mergeSort][b:1/1][i:1; 2; 4; 3; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:23:37][pass][c:com.idt.contest.college.winter2014.codetotest.d][m:mergeSort][b:1/1][i:1; 2; 3; 4; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:24:07][pass][c:com.idt.contest.college.winter2014.codetotest.c][m:mergeSort][b:1/1][i:1; 2; 4; 3; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:23:37][pass][c:com.idt.contest.college.winter2014.codetotest.xxxxxxx][m:mergeSort][b:1/1][i:1; 2; 3; 4; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:24:07][pass][c:com.idt.contest.college.winter2014.codetotest.ppppppp][m:mergeSort][b:1/1][i:1; 2; 4; 3; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:24:07][pass][c:com.idt.contest.college.winter2014.codetotest.call][m:mergeSort][b:1/1][i:1; 2; 4; 3; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:23:37][pass][c:com.idt.contest.college.winter2014.codetotest.me][m:mergeSort][b:1/1][i:1; 2; 3; 4; 5][o:1; 2; 3; 4; 5][n:]
[01/11/2014][15:24:07][pass][c:com.idt.contest.college.winter2014.codetotest.back][m:mergeSort][b:1/1][i:1; 2; 4; 3; 5][o:1; 2; 3; 4; 5][n:]
